0.1 0.1 0.00339
0.1 0.2 0.00289
0.1 0.3 0.00057
0.1 0.4 0.00143
0.1 0.5 0.01005
0.1 0.6 0.07923
0.1 0.7 0.00209
0.1 0.8 0.02821
0.1 0.9 0.00017
0.1 1.0 0
0.1 1.1 0.00098
0.1 1.2 0.07923
0.1 1.3 0.0153
0.1 1.4 0.00209
0.1 1.5 0.00018
0.1 1.6 0.02821
0.1 1.7 0.00352
0.1 1.8 0.00017
0.1 1.9 0.00904
0.1 2.0 0.01005
0.1 2.1 0.0033
0.1 2.2 0.00098
0.1 2.3 0.00026
0.1 2.4 0.07923
0.1 2.5 0.03615
0.1 2.6 0.0153
0.1 2.7 0.00595
0.1 2.8 0.00209
0.1 2.9 0.00066
0.1 3.0 0.00018
0.1 3.1 0.06472
0.1 3.2 0.02821
0.1 3.3 0.01082
0.1 3.4 0.00352
0.1 3.5 0.00091
0.1 3.6 0.00017
0.1 3.7 0.04345
0.1 3.8 0.00904
0.1 3.9 0.00059
0.1 4.0 0.01005
0.1 4.1 0.00583
0.1 4.2 0.0033
0.1 4.3 0.00183
0.1 4.4 0.00098
0.1 4.5 0.00052
0.1 4.6 0.00026
0.1 4.7 0.00013
0.1 4.8 0.07923
0.1 4.9 0.05399
0.1 5.0 0.03615
0.1 5.1 0.02376
0.1 5.2 0.0153
0.1 5.3 0.00965
0.1 5.4 0.00595
0.1 5.5 0.00358
0.1 5.6 0.00209
0.1 5.7 0.00119
0.1 5.8 0.00066
0.1 5.9 0.00035
0.1 6.0 0.00018
0.1 6.1 0.09426
0.1 6.2 0.06472
0.1 6.3 0.04334
0.1 6.4 0.02821
0.1 6.5 0.01779
0.1 6.6 0.01082
0.1 6.7 0.00632
0.1 6.8 0.00352
0.1 6.9 0.00185
0.1 7.0 0.00091
0.1 7.1 0.00041
0.1 7.2 0.00017
0.1 7.3 0.07842
0.1 7.4 0.04345
0.1 7.5 0.0215
0.1 7.6 0.00904
0.1 7.7 0.00293
0.1 7.8 0.00059
0.1 7.9 0.06172
0.1 8.0 0
0.1 8.1 0.00767
0.1 8.2 0.00583
0.1 8.3 0.0044
0.1 8.4 0.0033
0.1 8.5 0.00246
0.1 8.6 0.00183
0.1 8.7 0.00135
0.1 8.8 0.00098
0.1 8.9 0.00072
